trade_date,000300.SH_return,510880.SH_return,H11009.CSI_return,510410.SH_return,518880.SH_return
2015-02-06,-0.016194497921855566,-0.025565800502933778,-0.0009266188173896461,-0.023968042609853524,-0.004658385093167738
2015-02-09,0.010113753690655036,0.00043010752688177334,0.000280067164013742,-0.0027285129604365244,-0.023400936037441533
2015-02-10,0.018237728864489045,0.020206362854686244,-0.00019273644073081186,0.002735978112175186,0.003993610223642197
2015-02-11,0.007978119974416886,0.0021070375052676393,-1.1071456482714126e-05,0.0013642564802183177,-0.003977724741447752
2015-02-12,0.0025479569171060756,0.002102607232968845,0.001113019330325704,-0.0027247956403270157,-0.00998402555910538
2015-02-13,0.00782892432310911,0.011330255979857373,0.001007694649655333,0.023224043715847076,0.0068576038725292054
2015-02-16,0.008546533142276935,0.003734439834024883,0.001584432785410872,0.006675567423231055,0.0008012820512821595
2015-02-17,0.006526392612851595,0.009508061182306848,0.0008292460414531799,0.0053050397877985045,-0.004003202562049779
2015-02-25,-0.012376210919955777,-0.005323505323505451,0.0013485153688610474,-0.0079155672823219,-0.008842443729903504
2015-02-26,0.025171837185362866,0.030465212021408172,-0.00017222212510448198,0.030585106382978733,-0.0008110300081103361
2015-02-27,0.0018360791802136678,0.0,-9.713446842507523e-05,0.006451612903225712,0.00040584415584410394
2015-03-02,0.007955009498038512,0.009588493807431098,0.00021565946787149848,0.017948717948717885,0.008113590263691739
2015-03-03,-0.025925612250139785,-0.0126632370399683,-0.000824897664775559,-0.015113350125944613,-0.007243460764587484
2015-03-04,0.006534393796858495,0.0012024048096193063,-0.00035641151922038983,0.006393861892583175,-0.0032428050263477726
2015-03-05,-0.009764864952127361,-0.012009607686149004,-0.0007124289353755975,-0.008894536213468918,-0.004066693777958652
2015-03-06,-0.00509789654564885,-0.0008103727714747766,-0.0007907825503679078,0.011538461538461497,-0.004083299305839061
2015-03-09,0.017027356461943643,0.029197080291970545,-0.0004408255058132582,0.005069708491761693,-0.020500205002050076
2015-03-10,-0.004844604621581539,-0.005516154452324562,-1.2340763555607204e-05,0.0050441361916770955,-0.008790288823775638
2015-03-11,0.001148096168534396,0.004358161648177594,0.0003988064385807011,-0.016311166875784155,0.0004222972972973693
2015-03-12,0.019346869039306824,0.021696252465483123,0.0011842556330055043,0.014030612244897878,0.0012663571127056183
2015-03-13,0.006906228046639429,0.00617760617760621,-0.00014850534878663169,0.005031446540880502,-0.005480607082630651
2015-03-16,0.02432900631541335,0.019186492709132974,-0.0005435195028158368,0.018773466833541752,0.006358626536668188
2015-03-17,0.013884395025894003,0.01618975903614439,-0.00090787266420711,0.020884520884520974,-0.006739679865206405
2015-03-18,0.02367051163097722,0.03186365320489082,0.000515729757607053,0.016847172081829065,-0.007209499575911771
2015-03-19,-0.0016422022045966544,-0.001077199281867225,-0.0006316705185800409,0.010650887573964596,0.009397693293464293
2015-03-20,0.013760049836720745,0.01294033069734013,0.0008548857434809154,-0.0011709601873536313,-0.003808717731696998
